A  ˈa
ABALANZADOS  ˌaβalaŋsˈaðos
ABALANZAR  ˌaβalaŋsˈaɾ
ABALANZARA  ˌaβalaŋsˈaɾa
ABALANZARES  ˌaβalaŋsˈaɾes
ABALCONADO  ˌaβalkonˈaðo
ABALDONADA  ˌaβaldonˈaða
ABALDONADAS  ˌaβaldonˈaðas
ABALDONADO  ˌaβaldonˈaðo
ABALDONADOS  ˌaβaldonˈaðos
ABALDONAMIENTO  ˌaβaldˌonamjˈeŋto
ABALDONAR  ˌaβaldonˈaɾ
ABALDONARA  ˌaβaldonˈaɾa
ABALDONARES  ˌaβaldonˈaɾes
ABALEADA  ˌaβaleˈaða
ABALEADAS  ˌaβaleˈaðas
ABALEADO  ˌaβaleˈaðo
ABALEADOS  ˌaβaleˈaðos
ABALEAR  ˌaβaleˈaɾ
ABALEARA  ˌaβaleˈaɾa
ABALEARES  ˌaβaleˈaɾes
ABALEO  ˌaβalˈeo
ABALORIO  ˌaβalˈoɾjo
ABALUARTADA  aβalwaɾtˈaða
ABALUARTADAS  aβalwaɾtˈaðas
ABALUARTADO  aβalwaɾtˈaðo
ABALUARTADOS  aβalwaɾtˈaðos
ABALUARTAR  aβalwaɾtˈaɾ
ABALUARTARA  ˌaβaluaɾtˈaɾa
ABALUARTARES  ˌaβaluaɾtˈaɾes
ABANA  aβˈana
ABANACIÓN  ˌaβanasjˈon
ABANADA  ˌaβanˈaða
ABANADAS  ˌaβanˈaðas
ABANADO  ˌaβanˈaðo
ABANADOS  ˌaβanˈaðos
ABANAMOS  ˌaβanˈamos
ABANANDO  ˌaβanˈando
ABANAR  ˌaβanˈaɾ
ABANARA  ˌaβanˈaɾa
ABANARAS  ˌaβanˈaɾas
ABANAREIS  ˌaβanˈaɾeɪs
ABANAREMOS  ˌaβanaɾˈemos
ABANARES  ˌaβanˈaɾes
ABANARÁ  ˌaβanaɾˈa
ABANARÁS  ˌaβanaɾˈas
ABANARÍAMOS  ˌaβanaɾˈiamos
ABANAS  aβˈanas
ABANASTE  ˌaβanˈaste
ABANCA  aβˈaŋka
ABANCALADA  ˌaβaŋkalˈaða
ABANCALADAS  ˌaβaŋkalˈaðas
ABANCALADO  ˌaβaŋkalˈaðo
ABANCALADOS  ˌaβaŋkalˈaðos
ABANCALAR  ˌaβaŋkalˈaɾ
ABANCALARA  ˌaβaŋkalˈaɾa
ABANCALARES  ˌaβaŋkalˈaɾes
ABANDERA  ˌaβandˈeɾa
ABANDERADA  ˌaβandeɾˈaða
ABANDERADAS  ˌaβandeɾˈaðas
ABANDERADO  ˌaβandeɾˈaðo
ABANDERADOS  ˌaβandeɾˈaðos
ABANDERAMIENTOS  ˌaβandˌeɾamjˈeŋtos
ABANDERAR  ˌaβandeɾˈaɾ
ABANDERARA  ˌaβandeɾˈaɾa
ABANDERARAN  ˌaβandeɾˈaɾan
ABANDERARES  ˌaβandeɾˈaɾes
ABANDEREN  ˌaβandˈeɾen
ABANDERES  ˌaβandˈeɾes
ABANDERIZADA  ˌaβandˌeɾisˈaða
ABANDERIZADAS  ˌaβandˌeɾisˈaðas
ABANDERIZADO  ˌaβandˌeɾisˈaðo
ABANDERIZADOS  ˌaβandˌeɾisˈaðos
ABANDERIZAR  ˌaβandˌeɾisˈaɾ
ABANDERO  ˌaβandˈeɾo
ABANDERÉ  ˌaβandeɾˈe
ABANDERÉS  ˌaβandeɾˈes
ABANDONA  ˌaβandˈona
ABANDONADA  ˌaβandonˈaða
ABANDONADAS  ˌaβandonˈaðas
ABANDONADO  ˌaβandonˈaðo
ABANDONADOS  ˌaβandonˈaðos
ABANDONAMOS  ˌaβandonˈamos
ABANDONAN  ˌaβandˈonan
ABANDONANDO  ˌaβandonˈando
ABANDONAR  ˌaβandonˈaɾ
ABANDONARA  ˌaβandonˈaɾa
ABANDONARAS  ˌaβandonˈaɾas
ABANDONAREIS  ˌaβandonˈaɾeɪs
ABANDONAREMOS  ˌaβandˌonaɾˈemos
ABANDONARES  ˌaβandonˈaɾes
ABANDONARLA  ˌaβandonˈaɾla
ABANDONARLO  ˌaβandonˈaɾlo
ABANDONARLOS  ˌaβandonˈaɾlos
ABANDONARON  ˌaβandonˈaɾon
ABANDONARÁ  ˌaβandˌonaɾˈa
ABANDONARÁS  ˌaβandˌonaɾˈas
ABANDONARÍA  ˌaβandˌonaɾˈia
ABANDONARÍAMOS  ˌaβandˌonaɾˈiamos
ABANDONAS  ˌaβandˈonas
ABANDONASTE  ˌaβandonˈaste
ABANDONE  ˌaβandˈone
ABANDONEMOS  ˌaβandonˈemos
ABANDONEN  ˌaβandˈonen
ABANDONES  ˌaβandˈones
ABANDONISMO  ˌaβandonˈismo
ABANDONISTA  ˌaβandonˈista
ABANDONISTAS  ˌaβandonˈistas
ABANDONO  ˌaβandˈono
ABANDONOS  ˌaβandˈonos
ABANDONÁRAMOS  ˌaβandonˈaɾamos
ABANDONÉ  ˌaβandonˈe
ABANDONÓ  ˌaβandonˈo
ABANE  aβˈane
ABANEMOS  ˌaβanˈemos
ABANES  aβˈanes
ABANGARES  ˌaβaŋɡˈaɾes
ABANICADA  ˌaβanikˈaða
ABANICADAS  ˌaβanikˈaðas
ABANICADO  ˌaβanikˈaðo
ABANICADOS  ˌaβanikˈaðos
ABANICAR  ˌaβanikˈaɾ
ABANICARA  ˌaβanikˈaɾa
ABANICARES  ˌaβanikˈaɾes
ABANICAZO  ˌaβanikˈaso
ABANICO  ˌaβanˈiko
ABANICOS  ˌaβanˈikos
ABANO  aβˈano
ABANOS  aβˈanos
ABANTO  aβˈaŋto
ABANÁRAMOS  ˌaβanˈaɾamos
ABARATADA  ˌaβaɾatˈaða
ABARATADAS  ˌaβaɾatˈaðas
ABARATADO  ˌaβaɾatˈaðo
ABARATADOS  ˌaβaɾatˈaðos
ABARATAR  ˌaβaɾatˈaɾ
ABARATARA  ˌaβaɾatˈaɾa
ABARATARES  ˌaβaɾatˈaɾes
ABARBETADA  ˌaβaɾβetˈaða
ABARBETADAS  ˌaβaɾβetˈaðas
ABARBETADO  ˌaβaɾβetˈaðo
ABARBETADOS  ˌaβaɾβetˈaðos
ABARBETAR  ˌaβaɾβetˈaɾ
ABARBETARA  ˌaβaɾβetˈaɾa
ABARBETARES  ˌaβaɾβetˈaɾes
ABARCA  aβˈaɾka
ABARCABA  ˌaβaɾkˈaβa
ABARCABAN  ˌaβaɾkˈaβan
ABARCADA  ˌaβaɾkˈaða
ABARCADAS  ˌaβaɾkˈaðas
ABARCADO  ˌaβaɾkˈaðo
ABARCADOR  ˌaβaɾkaðˈoɾ
ABARCADOS  ˌaβaɾkˈaðos
ABARCAMOS  ˌaβaɾkˈamos
ABARCAN  aβˈaɾkan
ABARCANDO  ˌaβaɾkˈando
ABARCAR  ˌaβaɾkˈaɾ
ABARCARA  ˌaβaɾkˈaɾa
ABARCARES  ˌaβaɾkˈaɾes
ABARCARÍAMOS  ˌaβaɾkaɾˈiamos
ABARCÁRAMOS  ˌaβaɾkˈaɾamos
ABARCÓ  ˌaβaɾkˈo
ABARLOADA  ˌaβaɾloˈaða
ABARLOADAS  ˌaβaɾloˈaðas
ABARLOADO  ˌaβaɾloˈaðo
ABARLOADOS  ˌaβaɾloˈaðos
ABARLOAR  ˌaβaɾloˈaɾ
ABARLOARA  ˌaβaɾloˈaɾa
ABARLOARES  ˌaβaɾloˈaɾes
ABARRACADA  ˌaβarakˈaða
ABARRACADAS  ˌaβarakˈaðas
ABARRACADO  ˌaβarakˈaðo
ABARRACADOS  ˌaβarakˈaðos
ABARRACAR  ˌaβarakˈaɾ
ABARRACARA  ˌaβarakˈaɾa
ABARRACARES  ˌaβarakˈaɾes
ABARRADA  ˌaβarˈaða
ABARRADAS  ˌaβarˈaðas
ABARRADO  ˌaβarˈaðo
ABARRADOS  ˌaβarˈaðos
ABARRAR  ˌaβarˈaɾ
ABARRARA  ˌaβarˈaɾa
ABARRARES  ˌaβarˈaɾes
ABARRAZ  ˌaβarˈas
ABARROTADA  ˌaβarotˈaða
ABARROTADAS  ˌaβarotˈaðas
ABARROTADO  ˌaβarotˈaðo
ABARROTADOS  ˌaβarotˈaðos
ABARROTAR  ˌaβarotˈaɾ
ABARROTARA  ˌaβarotˈaɾa
ABARROTARES  ˌaβarotˈaɾes
ABARROTARON  ˌaβarotˈaɾon
ABARROTE  ˌaβarˈote
ABARROTERA  ˌaβarotˈeɾa
ABARROTERÍA  ˌaβarˌoteɾˈia
ABASTA  aβˈasta
ABASTADA  ˌaβastˈaða
ABASTADAS  ˌaβastˈaðas
ABASTADO  ˌaβastˈaðo
ABASTADOS  ˌaβastˈaðos
ABASTAMOS  ˌaβastˈamos
ABASTAR  ˌaβastˈaɾ
ABASTARA  ˌaβastˈaɾa
ABASTARAS  ˌaβastˈaɾas
ABASTARDA  ˌaβastˈaɾða
ABASTARDADA  ˌaβastaɾðˈaða
ABASTARDADAS  ˌaβastaɾðˈaðas
ABASTARDADO  ˌaβastaɾðˈaðo
ABASTARDADOS  ˌaβastaɾðˈaðos
ABASTARDAMOS  ˌaβastaɾðˈamos
ABASTARDANDO  ˌaβastaɾðˈando
ABASTARDAR  ˌaβastaɾðˈaɾ
ABASTARDARA  ˌaβastaɾðˈaɾa
ABASTARDARAS  ˌaβastaɾðˈaɾas
ABASTARDAREIS  ˌaβastaɾðˈaɾeɪs
ABASTARDAREMOS  ˌaβastˌaɾðaɾˈemos
ABASTARDARES  ˌaβastaɾðˈaɾes
ABASTARDARÁ  ˌaβastˌaɾðaɾˈa
ABASTARDARÁS  ˌaβastˌaɾðaɾˈas
ABASTARDARÉIS  ˌaβastˌaɾðaɾˈeɪs
ABASTARDARÍAMOS  ˌaβastˌaɾðaɾˈiamos
ABASTARDAS  ˌaβastˈaɾðas
ABASTARDASTE  ˌaβastaɾðˈaste
ABASTARDE  ˌaβastˈaɾðe
ABASTARDEMOS  ˌaβastaɾðˈemos
ABASTARDES  ˌaβastˈaɾðes
ABASTARDO  ˌaβastˈaɾðo
ABASTARDÁ  ˌaβastaɾðˈa
ABASTARDÁRAMOS  ˌaβastaɾðˈaɾamos
ABASTARDÁREMOS  ˌaβastaɾðˈaɾemos
ABASTARDÁS  ˌaβastaɾðˈas
ABASTARDÉ  ˌaβastaɾðˈe
ABASTARDÉS  ˌaβastaɾðˈes
ABASTAREIS  ˌaβastˈaɾeɪs
ABASTAREMOS  ˌaβastaɾˈemos
ABASTARES  ˌaβastˈaɾes
ABASTARÁ  ˌaβastaɾˈa
ABASTARÁS  ˌaβastaɾˈas
ABASTARÍAMOS  ˌaβastaɾˈiamos
ABASTAS  aβˈastas
ABASTASTE  ˌaβastˈaste
ABASTE  aβˈaste
ABASTECE  ˌaβastˈese
ABASTECEDOR  ˌaβastˌeseðˈoɾ
ABASTECEDORA  ˌaβastˌeseðˈoɾa
ABASTECEDORAS  ˌaβastˌeseðˈoɾas
ABASTECEDORES  ˌaβastˌeseðˈoɾes
ABASTECER  ˌaβastesˈeɾ
ABASTECERNOS  ˌaβastesˈeɾnos
ABASTECERÍAMOS  ˌaβastˌeseɾˈiamos
ABASTECIDA  ˌaβastesˈiða
ABASTECIDAS  ˌaβastesˈiðas
ABASTECIDO  ˌaβastesˈiðo
ABASTECIDOS  ˌaβastesˈiðos
ABASTECIMIENTO  ˌaβastˌesimjˈeŋto
ABASTECIÉNDOLA  ˌaβastesjˈendola
ABASTECIÉNDOLAS  ˌaβastesjˈendolas
ABASTECIÉNDOLE  ˌaβastesjˈendole
ABASTECIÉNDOLES  ˌaβastesjˈendoles
ABASTECIÉNDOLO  ˌaβastesjˈendolo
ABASTECIÉNDOLOS  ˌaβastesjˈendolos
ABASTECIÉNDOME  ˌaβastesjˈendome
ABASTECIÉNDONOS  ˌaβastesjˈendonos
ABASTECIÉNDOOS  ˌaβastesjˈendoos
ABASTECIÉNDOTE  ˌaβastesjˈendote
ABASTECÍAMOS  ˌaβastesˈiamos
ABASTEMOS  ˌaβastˈemos
ABASTES  aβˈastes
ABASTIONADA  ˌaβastjonˈaða
ABASTIONADAS  ˌaβastjonˈaðas
ABASTIONADO  ˌaβastjonˈaðo
ABASTIONADOS  ˌaβastjonˈaðos
ABASTIONAR  ˌaβastjonˈaɾ
ABASTIONARES  ˌaβastjonˈaɾes
ABASTO  aβˈasto
ABASTOS  aβˈastos
ABASTÁRAMOS  ˌaβastˈaɾamos
ABASTÉS  ˌaβastˈes
ABASÍ  ˌaβasˈi
ABATA  aβˈata
ABATAMOS  ˌaβatˈamos
ABATANADA  ˌaβatanˈaða
ABATANADAS  ˌaβatanˈaðas
ABATANADO  ˌaβatanˈaðo
ABATANADOS  ˌaβatanˈaðos
ABATANAR  ˌaβatanˈaɾ
ABATAS  aβˈatas
ABATATA  ˌaβatˈata
ABATATADA  ˌaβatatˈaða
ABATATADAS  ˌaβatatˈaðas
ABATATADO  ˌaβatatˈaðo
ABATATADOS  ˌaβatatˈaðos
ABATATAR  ˌaβatatˈaɾ
ABATATARSE  ˌaβatatˈaɾse
ABATATE  ˌaβatˈate
ABATATO  ˌaβatˈato
ABATE  aβˈate
ABATES  aβˈates
ABATIBLE  ˌaβatˈiβle
ABATIDA  ˌaβatˈiða
ABATIDAS  ˌaβatˈiðas
ABATIDO  ˌaβatˈiðo
ABATIDOS  ˌaβatˈiðos
ABATIR  ˌaβatˈiɾ
ABATIÉNDOLA  ˌaβatjˈendola
ABATIÉNDOLAS  ˌaβatjˈendolas
ABATIÉNDOLE  ˌaβatjˈendole
ABATIÉNDOLES  ˌaβatjˈendoles
ABATIÉNDOLO  ˌaβatjˈendolo
ABATIÉNDOLOS  ˌaβatjˈendolos
ABATIÉNDOME  ˌaβatjˈendome
ABATIÉNDONOS  ˌaβatjˈendonos
ABATIÉNDOOS  ˌaβatjˈendoos
ABATIÉNDOTE  ˌaβatjˈendote
ABATIÓ  ˌaβatjˈo
ABATO  aβˈato
ABATOJADA  ˌaβatoxˈaða
ABATOJADAS  ˌaβatoxˈaðas
ABATOJADO  ˌaβatoxˈaðo
ABATOJADOS  ˌaβatoxˈaðos
ABATOJAR  ˌaβatoxˈaɾ
ABATÍAMOS  ˌaβatˈiamos
ABAXIAL  ˌaβaksjˈal
ABAXIALES  ˌaβaksjˈales
ABAZÓN  ˌaβasˈon
ABAÑADA  ˌaβaɲˈaða
ABAÑADAS  ˌaβaɲˈaðas
ABAÑADO  ˌaβaɲˈaðo
ABAÑADOS  ˌaβaɲˈaðos
ABAÑARA  ˌaβaɲˈaɾa
ABAÑARES  ˌaβaɲˈaɾes
ABBA  ˈabβa
ABBAS  ˈaβas
ABBOTT  ˈaβot
ABDALÁ  ˌabðalˈa
ABDICA  abðˈika
ABDICACIONES  ˌabðikasjˈones
ABDICACIÓN  ˌabðikasjˈon
ABDICADA  ˌabðikˈaða
ABDICADAS  ˌabðikˈaðas
ABDICADO  ˌabðikˈaðo
ABDICADOS  ˌabðikˈaðos
ABDICAMOS  ˌabðikˈamos
ABDICAN  abðˈikan
ABDICANDO  ˌabðikˈando
ABDICAR  ˌabðikˈaɾ
ABDICARA  ˌabðikˈaɾa
ABDICARAS  ˌabðikˈaɾas
ABDICAREIS  ˌabðikˈaɾeɪs
ABDICAREMOS  ˌabðikaɾˈemos
ABDICARES  ˌabðikˈaɾes
ABDICARÁ  ˌabðikaɾˈa
ABDICARÁS  ˌabðikaɾˈas
ABDICARÉ  ˌabðikaɾˈe
ABDICARÍAMOS  ˌabðikaɾˈiamos
ABDICAS  abðˈikas
ABDICASTE  ˌabðikˈaste
ABDICATIVA  ˌabðikatˈiβa
ABDICATIVAS  ˌabðikatˈiβas
ABDICATIVO  ˌabðikatˈiβo
ABDICATIVOS  ˌabðikatˈiβos
ABDICO  abðˈiko
ABDICÁRAMOS  ˌabðikˈaɾamos
ABDIQUE  abðˈike
ABDIQUEMOS  ˌabðikˈemos
ABDIQUES  abðˈikes
ABDOMEN  abðˈomen
ABDOMINAL  ˌabðominˈal
ABDOMINALES  ˌabðominˈales
ABDUCCIÓN  ˌabðuksjˈon
ABDUCIDA  ˌabðusˈiða
ABDUCIDAS  ˌabðusˈiðas
ABDUCIDO  ˌabðusˈiðo
ABDUCIDOS  ˌabðusˈiðos
ABDUCIR  ˌabðusˈiɾ
ABDUCTOR  ˌabðuktˈoɾ
ABDUL  abðˈul
ABDULLAH  abðˈula
ABE  ˈaβe
ABECEDARIO  ˌaβeseðˈaɾjo
ABECÉ  ˌaβesˈe
ABECÉS  ˌaβesˈes
ABEDUL  ˌaβeðˈul
ABEJA  aβˈexa
ABEJAR  ˌaβexˈaɾ
ABEJARRÓN  ˌaβexarˈon
ABEJARUCO  ˌaβexaɾˈuko
ABEJAS  aβˈexas
ABEJEADA  ˌaβexeˈaða
ABEJEADAS  ˌaβexeˈaðas
ABEJEADO  ˌaβexeˈaðo
ABEJEADOS  ˌaβexeˈaðos
ABEJEAR  ˌaβexeˈaɾ
ABEJERA  ˌaβexˈeɾa
ABEJERO  ˌaβexˈeɾo
ABEJITA  ˌaβexˈita
ABEJONEADA  ˌaβexˌoneˈaða
ABEJONEADAS  ˌaβexˌoneˈaðas
ABEJONEADO  ˌaβexˌoneˈaðo
ABEJONEADOS  ˌaβexˌoneˈaðos
ABEJONEAR  ˌaβexˌoneˈaɾ
ABEJORREADA  ˌaβexˌoreˈaða
ABEJORREADAS  ˌaβexˌoreˈaðas
ABEJORREADO  ˌaβexˌoreˈaðo
ABEJORREADOS  ˌaβexˌoreˈaðos
ABEJORREAR  ˌaβexˌoreˈaɾ
ABEJORRO  ˌaβexˈoro
ABEJUNO  ˌaβexˈuno
ABEJÓN  ˌaβexˈon
ABEL  aβˈel
ABELARDO  ˌaβelˈaɾðo
ABELDADA  ˌaβeldˈaða
ABELDADAS  ˌaβeldˈaðas
ABELDADO  ˌaβeldˈaðo
ABELDADOS  ˌaβeldˈaðos
ABELDAR  ˌaβeldˈaɾ
ABELIANA  ˌaβeljˈana
ABELIANO  ˌaβeljˈano
ABELITO  ˌaβelˈito
ABELLA  aβˈeʝa
ABELMOSCO  ˌaβelmˈosko
ABELONITA  ˌaβelonˈita
ABEMOLADA  ˌaβemolˈaða
ABEMOLADAS  ˌaβemolˈaðas
ABEMOLADO  ˌaβemolˈaðo
ABEMOLADOS  ˌaβemolˈaðos
ABEMOLAR  ˌaβemolˈaɾ
ABENDAÑO  ˌaβendˈaɲo
ABERDEEN  ˌaβeɾðˈeen
ABERRACIONES  ˌaβerasjˈones
ABERRACIÓN  ˌaβerasjˈon
ABERRADA  ˌaβerˈaða
ABERRADAS  ˌaβerˈaðas
ABERRADO  ˌaβerˈaðo
ABERRADOS  ˌaβerˈaðos
ABERRAMOS  ˌaβerˈamos
ABERRANDO  ˌaβerˈando
ABERRANTE  ˌaβerˈaŋte
ABERRANTES  ˌaβerˈaŋtes
ABERRAR  ˌaβerˈaɾ
ABERRARÍAMOS  ˌaβeraɾˈiamos
ABERRÁRAMOS  ˌaβerˈaɾamos
ABERTAL  ˌaβeɾtˈal
ABERTALES  ˌaβeɾtˈales
ABERTURA  ˌaβeɾtˈuɾa
ABERTURAS  ˌaβeɾtˈuɾas
ABERTZALE  ˌaβeɾtsˈale
ABERTZALES  ˌaβeɾtsˈales
ABERZALES  ˌaβeɾsˈales
ABESIVA  ˌaβesˈiβa
ABESIVAS  ˌaβesˈiβas
ABESIVO  ˌaβesˈiβo
ABESIVOS  ˌaβesˈiβos
ABETAL  ˌaβetˈal
ABETO  aβˈeto
ABETOS  aβˈetos
ABETUNADA  ˌaβetunˈaða
ABETUNADAS  ˌaβetunˈaðas
ABETUNADO  ˌaβetunˈaðo
ABETUNADOS  ˌaβetunˈaðos
ABETUNAR  ˌaβetunˈaɾ
ABIERTA  aβjˈeɾta
ABIERTAMENTE  aβjˈeɾtamˈeŋte
ABIERTAS  aβjˈeɾtas
ABIERTO  aβjˈeɾto
ABIERTOS  aβjˈeɾtos
ABIGAIL  ˌaβiɣaˈil
ABIGARRADA  ˌaβiɣarˈaða
ABIGARRADO  ˌaβiɣarˈaðo
ABIGARRAR  ˌaβiɣarˈaɾ
ABIGEATO  ˌaβixeˈato
ABIGEO  ˌaβixˈeo
ABINTESTATO  ˌaβiŋtestˈato
ABIPÓN  ˌaβipˈon
ABISAGRADA  ˌaβisaɣɾˈaða
ABISAGRADAS  ˌaβisaɣɾˈaðas
ABISAGRADO  ˌaβisaɣɾˈaðo
ABISAGRADOS  ˌaβisaɣɾˈaðos
ABISAGRAR  ˌaβisaɣɾˈaɾ
ABISAL  ˌaβisˈal
ABISINIA  ˌaβisˈinja
ABISINIO  ˌaβisˈinjo
ABISMADA  ˌaβismˈaða
ABISMADAS  ˌaβismˈaðas
ABISMADO  ˌaβismˈaðo
ABISMADOS  ˌaβismˈaðos
ABISMAL  ˌaβismˈal
ABISMAMOS  ˌaβismˈamos
ABISMAR  ˌaβismˈaɾ
ABISMARÍAMOS  ˌaβismaɾˈiamos
ABISMO  aβˈismo
ABISMÁRAMOS  ˌaβismˈaɾamos
ABIVAS  aβˈiβas
ABIYANÉS  ˌaβiʝanˈes
ABIÓTICA  aβjˈotika
ABIÓTICAS  aβjˈotikas
ABIÓTICO  aβjˈotiko
ABIÓTICOS  aβjˈotikos
ABJAD  aβxˈad
ABJASIA  aβxˈasja
ABJASIO  aβxˈasjo
ABJASO  aβxˈaso
ABJURA  aβxˈuɾa
ABJURACIÓN  ˌaβxuɾasjˈon
ABJURADA  ˌaβxuɾˈaða
ABJURADAS  ˌaβxuɾˈaðas
ABJURADO  ˌaβxuɾˈaðo
ABJURADOS  ˌaβxuɾˈaðos
ABJURAMOS  ˌaβxuɾˈamos
ABJURANDO  ˌaβxuɾˈando
ABJURAR  ˌaβxuɾˈaɾ
ABJURARÍAMOS  ˌaβxuɾaɾˈiamos
ABJURAS  aβxˈuɾas
ABJURE  aβxˈuɾe
ABJURO  aβxˈuɾo
ABJURÁRAMOS  ˌaβxuɾˈaɾamos
ABLACIONADA  ˌaβlasjonˈaða
ABLACIONADAS  ˌaβlasjonˈaðas
ABLACIONADO  ˌaβlasjonˈaðo
ABLACIONADOS  ˌaβlasjonˈaðos
ABLACIÓN  ˌaβlasjˈon
ABLANDADA  ˌaβlandˈaða
ABLANDADAS  ˌaβlandˈaðas
ABLANDADO  ˌaβlandˈaðo
ABLANDADOS  ˌaβlandˈaðos
ABLANDAR  ˌaβlandˈaɾ
ABLANDARSE  ˌaβlandˈaɾse
ABLATIVA  ˌaβlatˈiβa
ABLATIVAS  ˌaβlatˈiβas
ABLATIVO  ˌaβlatˈiβo
ABLATIVOS  ˌaβlatˈiβos
ABLUCIÓN  ˌaβlusjˈon
ABLUIDA  ˌaβluˈiða
ABLUIDAS  ˌaβluˈiðas
ABLUIDO  ˌaβluˈiðo
ABLUIDOS  ˌaβluˈiðos
ABLUIR  ˌaβluˈiɾ
ABLUIRÍAMOS  ˌaβlwiɾˈiamos
ABLUÍAMOS  ˌaβluˈiamos
ABNEGACION  ˌabneɣˈasjon
ABNEGACIÓN  ˌabneɣasjˈon
ABNEGADA  ˌabneɣˈaða
ABNEGADAS  ˌabneɣˈaðas
ABNEGADO  ˌabneɣˈaðo
ABNEGADOS  ˌabneɣˈaðos
ABNEGAMOS  ˌabneɣˈamos
ABNEGAR  ˌabneɣˈaɾ
ABNEGARÍAMOS  ˌabneɣaɾˈiamos
ABNEGÁRAMOS  ˌabneɣˈaɾamos
ABOBADA  ˌaβoβˈaða
ABOBADAS  ˌaβoβˈaðas
ABOBADO  ˌaβoβˈaðo
ABOBADOS  ˌaβoβˈaðos
ABOBALICONADO  ˌaβoβˌalikonˈaðo
ABOBAR  ˌaβoβˈaɾ
ABOBRA  aβˈoβɾa
ABOCADA  ˌaβokˈaða
ABOCADAS  ˌaβokˈaðas
ABOCADO  ˌaβokˈaðo
ABOCADOS  ˌaβokˈaðos
ABOCAR  ˌaβokˈaɾ
ABOCETADA  ˌaβosetˈaða
ABOCETADAS  ˌaβosetˈaðas
ABOCETADO  ˌaβosetˈaðo
ABOCETADOS  ˌaβosetˈaðos
ABOCETAR  ˌaβosetˈaɾ
ABOCHORNADA  ˌaβotʃoɾnˈaða
ABOCHORNADAS  ˌaβotʃoɾnˈaðas
ABOCHORNADO  ˌaβotʃoɾnˈaðo
ABOCHORNADOS  ˌaβotʃoɾnˈaðos
ABOCHORNANTE  ˌaβotʃoɾnˈaŋte
ABOCHORNAR  ˌaβotʃoɾnˈaɾ
ABOCHORNARSE  ˌaβotʃoɾnˈaɾse
ABOCINADA  ˌaβosinˈaða
ABOCINADAS  ˌaβosinˈaðas
ABOCINADO  ˌaβosinˈaðo
ABOCINADOS  ˌaβosinˈaðos
ABOCINAR  ˌaβosinˈaɾ
ABODRITA  ˌaβoðɾˈita
ABOFAR  ˌaβofˈaɾ
ABOFETEADA  ˌaβofˌeteˈaða
ABOFETEADAS  ˌaβofˌeteˈaðas
ABOFETEADO  ˌaβofˌeteˈaðo
ABOFETEADOS  ˌaβofˌeteˈaðos
ABOFETEAR  ˌaβofˌeteˈaɾ
ABOFETEARA  ˌaβofˌeteˈaɾa
ABOGA  aβˈoɣa
ABOGACÍA  ˌaβoɣasˈia
ABOGADA  ˌaβoɣˈaða
