10K	ten k
GRPC	g r p c
GRU	g r u
GSK	g s k
GTC	g t c
GTX	g t x
GUI	gui
GUI	g u i
GeForce	geforce
GeForce NOW	geforce now
GPT-3	gpt three
GPT-3	gpd three
GPT-4	gpt four
GPT-4	gpd four
GPT-5	gpt five
GPT-5	gpd five
H.264	H two six four
H.264	H two sixty four
H.265	H two six five
H.265	H two sixty five
H100	H one hundred
HBM3	hbm three
HDMI	h d m i
HDMI	hdmi
HEVC	h e v c
HGX	h g x
HMD	Hmd
HPC	h p c
HQ	h q
HSM	h s m
HT	h t
HTTP	h t t p
HTTPS	h t t p s
HuggingFace	hugging face
HuggingFace	hugging phase
HuggingFace	hugging fas
IBM	ibm
I/O	i o
ICMP	i c m p
IEC	i e c
IEEE	i triple e
IGMP	i g m p
IGX	i g x
IISc	i i s c
IIT	i i t
INT8	int eight
IP	i p
IPSec	i p sec
ISC	i s c
ISI	i s i
InfiniBand	infiband
IoT	i o t
Isaac SIM	isaac sim
JSON	j son
JavaScript	java script
JavaScript	javascript
Jupyter	jupiter
KVM	k v m
K80	k80
Llama	llama
Llama 2	llama two
Llama 2 70B	llama two seventy
L&M	ln m
L&M	l and m
LFP	lee fei po
LFP	life po
LGA	l g a	-1.1
LLC	l l c
LLM	l l m
LLMs	l l ms
LLP	l l p
LSTM	l s t m
LT	l t
LTT	l t t
LinkedIn	linked in
LinkedIn	linkedin
MB	m b
MCB	m c b
MCCB	m c c b
MCP	m c p
MDM	m d m
MFA	m f a
MFA	mfa
MGX	mg x
MGX	mgx
MIT	m i t
ML	m l
MLPerf	m l perf
MONAI	monai
MWC	m w c
MXNet	m x net
MacBook	mac book
MacBook	macbook
MacBook Pro	mac book pro
Max-Q	max q
Million-X	million x
MoCap	mo cap
NC	n c
NIC	nic
NIC	n i c
NGC	n g c
NLP	n l p
NLU	n l u
NMC	n m c
NO	n o
NTP	n t p
NVIDIA's	nvidia's
NVLink	mv link
NVLink	nv link
NVLink	nvlink
NVDec	n v dec
NVDec	n v deck
NVEnc	n v enc
NVEnc	n v inc
NVEnc	n v ink
NVMe	n v m e
Ni-CD	knee cad
NiMH	n i m h
NoSQL	no s q l
NoSQL	no sql
Nova Orin	nova orin
Nvidia A100	nvidia a hundred
Nvidia A100	nvidia a one hundred
Nvidia A30	nvidia a thirty
Nvidia A40	nvidia a forty
NVIDIA TAO	nvidia tau
NV switches	mv switches
N7	n seven
OCI	o c i
OEM	o e m
OEMs	o e ms
OLTC	o l t c
OLTP	o l t p
Omniverse	omnibus
Omniverse	omnivores
ONNX	o n n x
OVX	o v x
OpEx	op ex
OpEx	opex
OpenCL	open c l
OpenGL	open g l
OpenUSD	open usd
OPenUSD	open u s d
OpenXR	open xr
PageRank	pagerank
PC	pc
PCB	pcb
PCBs	pcbs
PCBA	pcba
PCBA	pcb a
PCB	p c b
PCI	p c i
PCIe	p c i e	-1.1
PDF	p d f
Pegatron	pega tron
Pegatron's 	pega ron's
PHEV	p h e v
POP3	pop three
PSO	p s o
Photoshop	photo shop
PhysX	fizz ex
PhysX	fizz x
PhysX	phys ex
PhysX	phys x
PlayStation	play station
PlayStation	playstation
Premiere Pro	premiere pro
PetaFLOPS	petaflops
ProVis	pro vis
ProVis	provis
PyG	pi g
PyG	py g
PyTorch	pi torch
QCT	qct
QCT	q c t
QODA	q o d a
QOS	q o s
RCBO	r c b o
RCCB	r c c b
RDS	r d s
RealityKit	reality kit
RenderMan	render man
RFP	r f p
RISC	risc
RL	r l
RNN	r n n
ROI	r o i
RSS	r s s
RT	r t
RTP	r t p
RTX	r t x	-1.1
RTX ON	r t x on
RTX Off	r t x off
RacerX	racer x
Ryzen 2	rye zen two
Ryzen 3	rye zen three
Ryzen 5	rye zen five
Ryzen 7	rye zen seven
Ryzen 9	rye zen nine
S&P	s and p
S3	s three
SAE	s a e
SDK	s d k
SDXL	sd xl
SDXL	sd x l
SDXL	sd exl
SEO	s e o
SFU	s f u
SHIELD TV	shield tv
SIM	sim
SIGGRAPH	sig graph
SIGGRAPH	siggraph
SIGGRAPH	si graf
SIGGRAPH	si graph
SIGGRAPH	si graff
SideFX	sde fx
SideFX	sde f x
SmartNIC	smart nic
SmartNIC	smartnic
SMPS	s m p s
SMTP	s m t p
SNMP	s n m p
SNS	s n s
SoftBank	softbank
SOL	s o l
Spectrum-X	spectrum x
SPDT	s p d t
SPN	s p n
SPST	s p s t
SQL	s q l
SQS	s q s
SSD	s s d
SSH	s s h
SSL	s s l
SSO	s s o
SSR	s s r
Stable Diffusion XL	stable diffusion excel
SUV	s u v
SWG	s w g
SaaS	saas
ServiceNow	service now
SuperCloud	super cloud
SuperPOD	super pod
System/360 	system three sixty
TCO	t c o
TCO	tco
TCP	t c p
TCP/IP	t c p i p
TFTP	t f t p
TJ	t j
TOS	t o s
TPM	t p m
TPMS	t p m s
TPN	t p n
TSL	t s l
TSMC	t s m c
TTS	t t s
Telnet	tell net
TensorRT	tensor r t
tensorRT	tensor rt
Tick-Tock	tick tock
TikTok app	tick tock app
TikTok is	tick tock is
UDP	u d p
UEFI	u e f i
UFI	u f i
UPS	u p s
USB	u s b
USB	usb
USD	u s d
USD	usd
VAAPI	v a a p i
VAAPI	v a api
VDI	v d i
VDPAU	v d p a u
VDPAU	v d paw
VDPAU	v d pow
VFD	v f d
VLAN	v lan
VMware	vmware
VP	v p
VPN	v p n
Vcc	v c c
Vdd	v d d
VoIP	v o i p
WFSA	w f s a
WFST	w f s t
Wi-Fi	wi fi
Wi-Fi	wifi
WPP wpp	wpp
WSL2	wsl two
XLabs	xlabs
XLabs	x labs
XLabs	x lab
XFX	x f x
XFX	x fx
XML	x m l
Zen 2	zen two
Zen 3	zen three
Zen 4	zen four
c#	c sharp
c++	c plus plus
cuBLAS	cue blah
cuBLAS	cue blahs
cuBLAS	q blahs
cuDNN	c u d n n
cuDNN	cue d n n
cuDNN	q d n n
cuOpt	cue opt
cuOpt	q opt
cuQuantum	cue quantum
cuQuantum	q quantum
dr.	doctor
e.g.	for example
es3	e s three
ext4	e x t four
i3	i three
i5	i five
i7	i seven
i9	i nine
iOS	ios
iTPMS	i t p m s
mr.	mister
mrs.	misses
on TikTok	on tick tock
sFTP	s f t p
st.	saint
x1	x one
x2	x two
x8	x eight
HBM3E	Hbm Three E
